Variable:,tasmax
Country:,Haiti
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,28.27,28.48,29.51,29.96,29.83,31.08,31.97,32.04,31.70,31.08,29.50,28.51
1963,28.28,29.37,29.88,30.06,29.95,30.87,31.69,32.15,31.70,30.98,29.45,29.16
1964,28.91,29.96,30.67,29.60,30.55,31.12,31.46,31.94,31.57,30.80,29.51,27.85
1965,27.25,28.45,29.58,29.53,29.17,30.46,30.95,31.34,31.34,30.98,29.50,28.30
1966,28.62,28.69,29.49,30.16,30.22,31.32,32.02,32.23,31.67,30.56,28.59,28.01
1967,28.77,28.75,28.51,28.46,29.86,30.84,31.40,31.11,31.05,30.65,29.67,28.22
1968,27.47,28.49,28.73,28.52,30.23,31.14,31.30,31.48,31.17,30.70,29.62,28.17
1969,27.88,28.52,29.99,30.63,31.04,31.78,32.30,32.00,31.42,31.03,29.22,27.89
1970,27.96,28.51,29.25,30.20,29.59,31.26,31.70,31.48,30.78,30.85,28.99,28.20
1971,28.13,27.42,28.74,28.49,30.09,30.80,30.77,31.12,30.97,29.77,28.66,27.57
1972,27.35,28.29,28.69,29.49,29.84,30.91,31.24,31.13,30.58,30.34,29.65,28.42
1973,28.25,28.25,29.55,29.82,30.79,31.05,32.32,31.81,31.19,30.48,29.25,27.43
1974,27.26,28.00,28.76,28.68,29.24,30.75,31.30,30.76,30.39,29.87,27.83,27.58
1975,27.33,28.13,29.00,29.66,30.17,30.57,31.26,31.34,30.68,29.50,28.57,27.00
1976,26.41,27.07,27.68,28.44,29.37,30.12,30.93,31.66,30.85,29.66,29.31,29.03
1977,27.84,28.72,29.41,29.19,29.30,30.75,30.82,30.92,30.73,30.59,29.28,28.63
1978,27.59,28.01,28.97,28.77,29.94,30.78,30.98,31.24,31.05,30.30,28.42,28.13
1979,27.95,28.26,28.40,28.58,29.45,30.17,31.13,30.91,29.72,30.11,28.57,27.89
1980,28.27,28.48,29.51,29.73,30.74,31.19,31.57,31.46,31.40,30.88,29.57,28.06
1981,27.73,28.27,29.22,29.25,30.55,30.92,31.66,31.38,31.01,30.32,29.20,28.51
1982,28.10,28.39,29.32,29.73,29.06,30.88,30.99,31.25,31.31,30.25,29.01,27.82
1983,28.62,28.88,30.06,29.71,30.14,31.49,31.94,31.69,31.10,30.37,29.51,28.67
1984,28.34,28.87,29.41,30.33,29.82,30.24,30.66,31.08,30.23,29.56,28.48,27.46
1985,27.85,28.03,28.52,28.69,30.16,31.11,31.26,31.24,30.63,29.51,28.60,28.09
1986,27.58,28.36,28.99,29.59,29.34,30.00,30.97,31.35,30.55,30.07,28.85,28.71
1987,28.09,28.71,29.31,29.76,30.25,30.90,31.67,32.01,31.64,30.66,29.57,28.88
1988,28.29,28.60,29.43,30.11,30.63,31.63,31.73,31.17,30.64,30.61,29.38,27.95
1989,27.99,27.98,28.42,29.22,30.00,30.77,31.20,31.73,31.13,30.56,29.36,28.74
1990,28.20,28.07,28.56,29.38,30.39,31.44,31.81,32.03,31.77,30.39,29.37,27.82
1991,28.48,28.80,29.55,29.72,29.82,31.19,31.69,31.55,30.97,30.70,28.85,28.17
1992,28.49,29.01,29.74,29.89,29.40,31.68,31.28,31.86,30.88,30.58,29.30,28.47
1993,28.20,28.82,28.95,29.78,29.81,30.99,31.54,31.79,31.05,31.19,29.90,28.78
1994,28.48,29.12,30.15,30.07,30.89,31.51,31.84,31.72,31.49,30.93,29.85,29.08
1995,28.77,29.23,29.45,30.83,31.13,32.21,32.55,32.01,31.83,30.45,29.67,28.94
1996,28.40,28.45,29.34,29.70,30.43,31.55,31.38,31.21,31.84,30.52,28.62,27.53
1997,27.82,28.30,29.54,30.16,31.18,31.77,32.08,32.31,31.45,30.30,29.79,29.84
1998,28.99,29.66,29.44,29.68,30.86,31.77,32.11,32.21,31.59,30.67,29.40,28.84
1999,28.34,27.70,29.63,29.68,30.97,31.11,31.26,32.23,31.42,30.32,29.01,27.69
2000,27.46,28.06,28.95,30.08,30.05,30.70,32.00,31.70,31.23,30.40,29.34,28.53
2001,27.71,28.39,30.32,29.57,30.50,31.14,31.66,32.10,31.46,30.16,28.98,28.70
2002,28.41,28.94,29.50,29.28,30.14,31.01,31.38,31.97,31.26,30.70,30.63,29.17
2003,28.46,29.16,30.30,29.89,30.74,31.56,31.42,31.75,31.68,31.24,29.29,28.51
2004,28.62,29.20,29.40,29.48,29.43,30.85,31.49,31.55,31.22,30.16,28.91,28.21
2005,27.30,27.66,30.41,30.13,29.92,31.06,31.53,31.89,31.82,29.99,29.12,28.28
2006,27.84,27.86,29.14,29.82,30.69,31.63,31.85,32.02,31.49,31.01,29.44,28.98
2007,27.95,28.98,29.59,29.90,30.53,31.55,31.88,31.59,31.40,30.28,28.62,28.11
2008,27.60,27.54,28.47,28.92,30.71,30.93,31.54,31.46,30.45,29.33,28.26,27.48
2009,27.91,27.54,27.72,29.39,29.70,30.89,32.06,31.74,31.72,30.88,29.82,29.53
2010,28.22,28.89,29.86,29.66,30.33,31.20,31.73,32.02,30.85,29.71,28.45,28.12
2011,27.99,28.13,28.54,30.39,30.78,31.35,31.51,31.08,30.84,30.11,29.10,27.65
2012,27.12,28.12,28.68,29.13,29.87,31.83,31.16,31.63,31.12,30.76,29.06,28.33
2013,27.98,28.73,29.63,29.66,30.05,31.45,31.15,31.52,31.37,31.25,29.19,28.69
2014,28.96,29.29,30.02,30.29,29.42,31.93,32.10,32.14,31.34,31.11,29.86,28.86
2015,29.09,29.62,30.02,30.28,30.65,31.42,32.20,32.84,32.29,31.63,30.27,29.94
2016,28.95,29.40,30.16,30.32,30.87,32.08,31.64,32.51,31.38,30.43,28.92,29.06
2017,28.89,29.74,28.95,29.63,30.57,31.35,32.20,32.40,32.16,30.79,29.56,28.34
2018,28.04,28.05,29.38,30.23,29.70,31.74,31.85,32.13,31.11,30.51,29.91,28.98
2019,29.22,28.81,29.69,30.26,30.44,31.89,31.97,32.98,31.88,30.86,30.56,28.69
2020,28.79,29.97,29.52,31.25,31.34,32.17,32.27,32.38,31.97,30.81,29.43,28.71
2021,28.85,29.39,29.96,30.70,30.56,31.15,31.90,31.56,32.08,31.31,30.39,28.75
